OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
20042,FLYING J TRAVEL PLAZA #700,I-80 & I-90 EXIT 71,Perrysburg,OH,550,3.759,41.5571178,-83.6279321
20043,FRIENDSHIP FOOD MART #70,SR-2 & SR-53,Port Clinton,OH,550,3.939,41.5119954,-82.9376919
20045,PILOT TRAVEL CENTERS #281,"I-80, EXIT 226",Girard,OH,573,3.45233333,41.1540381,-80.7009406
20049,LOVES TRAVEL STOP #263,"I-44, EXIT 45 & SR-49",Lawton,OK,569,3.21733333,34.60730493997218,-98.37875538743802
20050,LOVES TRAVEL STOP #260,"I-35, EXIT 106 & SR-9 W",Norman,OK,483,3.254,35.24475137199979,-97.48584666045689
20054,Jacksons Food Stores,"I-84, EXIT 261",La Grande,OR,925,3.687,45.3246068,-118.0878695
20062,PILOT TRAVEL CENTERS #298,"I-80, EXIT 256 & SR-93",Drums,PA,200,3.97566666,41.018139,-75.9949252
20066,KWIK FILL #228,"I-90, EXIT 45 & US-20",North East,PA,240,4.089,42.2150373,-79.8358415
20070,ONVO TRAVEL PLAZA - PROMISED LAND,"I-84, EXIT 26 & SR-390",Tafton,PA,200,3.54566666,41.404534,-75.1829535
20072,PILOT TRAVEL CENTERS #310,"I-85, EXIT 63 & SR-290",Duncan,SC,210,3.43233333,34.9378962,-82.1451096
20079,PETRO KINGSTON SPRINGS #349,"I-40, EXIT 188",Kingston Springs,TN,460,3.23233333,36.1020038,-87.1150054
20082,GOLDEN EXPRESS TRUCK STOP,US-287/US-81 & CR-1595,Alvord,TX,637,3.049,33.3541879,-97.6944884335888
20083,FLYING J TRAVEL PLAZA #724,"I-10, EXIT 0",Anthony                                 ,TX,640,3.459,31.9956534,-106.596817
20086,LOVES TRAVEL STOP #609,"I-35, EXIT 471 & US-77",Denton,TX,630,3.24733333,33.207645307225775,-97.16574525989829
20105,CEFCO #1050,"I-30, EXIT 146 & US-37",Mount Vernon,TX,723,2.94233333,33.16181223922167,-95.22791350909517
20108,TEX-BEST #501,"I-37, EXIT 125",Elmendorf                               ,TX,740,2.949,29.2560731,-98.3327903
20109,PILOT TRAVEL CENTERS #306,"I-10, EXIT 582",San Antonio                             ,TX,740,3.214,29.64057856582796,-98.61764792913513
20114,CROSSROADS,"I-10, EXIT 829 & SR-124",Winnie                                  ,TX,610,4.249,29.84645282105619,-94.37092102709632
20118,KWIK TRIP #648,"I-94, EXIT 116 & SR-54",Black River Falls,WI,395,3.23733333,44.2952152,-90.8484137
20119,FREMONT CITGO,US-10 & SR-110,Fremont,WI,444,3.399,44.27198895,-88.85051146964139
20121,GO MART FOOD STORE #50,"I-77/I-64, EXIT 44 & SR-3",Beckley,WV,44,3.599,37.7781702,-81.1881557
20129,FLYING J #848- ROAD KING TRUCK,"HIGHWAY 2, EXIT 251",Calgary,AB,50,4.39722401,31.6174004,-94.1193622
20129,FLYING J #848- ROAD KING TRUCK,"HIGHWAY 2, EXIT 251",Calgary,AB,50,4.39948962,31.6174004,-94.1193622
20129,FLYING J #848- ROAD KING TRUCK,"HIGHWAY 2, EXIT 251",Calgary,AB,50,4.40695023,31.6174004,-94.1193622
20129,FLYING J #848- ROAD KING TRUCK,"HIGHWAY 2, EXIT 251",Calgary,AB,50,4.39625375,31.6174004,-94.1193622
20129,FLYING J #848- ROAD KING TRUCK,"HIGHWAY 2, EXIT 251",Calgary,AB,50,4.40630048,31.6174004,-94.1193622
20129,FLYING J #848- ROAD KING TRUCK,"HIGHWAY 2, EXIT 251",Calgary,AB,50,4.3981947,31.6174004,-94.1193622
44228,I-69 TRUCKSTOP TRAVEL CENTER,"I-69, EXIT 184 & SR-19",Memphis,MI,342,3.599,35.1460249,-90.0517638
44228,I-69 TRUCKSTOP TRAVEL CENTER,"I-69, EXIT 184 & SR-19",Memphis,MI,342,3.499,35.1460249,-90.0517638
